time,best_cost
0.000002,274.0000000000
0.000005,274.0000000000
0.000007,274.0000000000
0.000008,274.0000000000
0.000010,274.0000000000
0.000011,274.0000000000
0.000013,274.0000000000
0.000014,274.0000000000
0.000016,274.0000000000
0.000017,274.0000000000
0.000019,274.0000000000
0.000020,272.0000000000
0.000021,272.0000000000
0.000023,270.0000000000
0.000024,270.0000000000
0.000026,270.0000000000
0.000027,266.0000000000
0.000029,266.0000000000
0.000030,262.0000000000
0.000031,262.0000000000
0.000033,262.0000000000
0.000034,262.0000000000
0.000036,262.0000000000
0.000037,262.0000000000
0.000038,262.0000000000
0.000040,262.0000000000
0.000041,262.0000000000
0.000043,262.0000000000
0.000044,262.0000000000
0.000046,262.0000000000
0.000047,262.0000000000
0.000048,262.0000000000
0.000050,262.0000000000
0.000051,262.0000000000
0.000052,262.0000000000
0.000054,262.0000000000
0.000055,262.0000000000
0.000057,262.0000000000
0.000058,262.0000000000
0.000060,262.0000000000
0.000061,262.0000000000
0.000062,262.0000000000
0.000064,262.0000000000
0.000065,262.0000000000
0.000067,262.0000000000
0.000068,262.0000000000
0.000069,262.0000000000
0.000071,262.0000000000
0.000072,262.0000000000
0.000074,262.0000000000
0.000075,262.0000000000
0.000076,262.0000000000
0.000078,262.0000000000
0.000079,262.0000000000
0.000081,262.0000000000
0.000082,262.0000000000
0.000083,262.0000000000
0.000085,262.0000000000
0.000086,262.0000000000
0.000088,262.0000000000
0.000089,262.0000000000
0.000090,262.0000000000
0.000092,262.0000000000
0.000093,262.0000000000
0.000095,262.0000000000
0.000096,262.0000000000
0.000097,262.0000000000
0.000099,262.0000000000
0.000100,262.0000000000
0.000102,262.0000000000
0.000103,262.0000000000
0.000104,262.0000000000
0.000106,262.0000000000
0.000107,262.0000000000
0.000109,262.0000000000
0.000110,262.0000000000
0.000111,262.0000000000
0.000113,262.0000000000
0.000114,262.0000000000
0.000116,262.0000000000
0.000117,262.0000000000
0.000119,262.0000000000
0.000120,262.0000000000
0.000121,262.0000000000
0.000123,262.0000000000
0.000124,262.0000000000
0.000125,262.0000000000
0.000127,262.0000000000
0.000128,262.0000000000
0.000130,262.0000000000
0.000131,262.0000000000
0.000132,262.0000000000
0.000134,262.0000000000
0.000135,262.0000000000
0.000136,262.0000000000
0.000138,262.0000000000
0.000139,262.0000000000
0.000141,262.0000000000
0.000142,262.0000000000
0.000143,262.0000000000
0.000145,262.0000000000
0.000146,262.0000000000
0.000148,262.0000000000
0.000149,262.0000000000
0.000151,262.0000000000
0.000152,262.0000000000
0.000153,262.0000000000
0.000155,262.0000000000
0.000156,262.0000000000
0.000157,262.0000000000
